DEVICE(0),SERIES_NO(1),LANE(2),SMALL_VOL(3),BIG_VOL(4),CONNECT_VOL(5),SMALL_SPEED(6),BIG_SPEED(7),CONNECT_SPEED(8),OCCUPANCY(9),level(10)
VD01,1,1,22,8,5,60,60,60,32,0
VD02,1,1,22,8,5,60,60,60,32,0
VD01,1,2,22,8,5,60,60,60,32,0
VD02,1,2,22,8,5,60,60,60,32,0
VD01,1,3,22,8,5,60,60,60,32,0
VD02,1,3,22,8,5,60,60,60,32,0
VD01,2,1,22,8,5,60,60,60,32,0
VD02,2,1,22,8,5,60,60,60,32,0
VD01,2,2,22,8,5,60,60,60,32,0
VD02,2,2,22,8,5,60,60,60,32,0
VD01,2,3,22,8,5,60,60,60,32,0
VD02,2,3,22,8,5,60,60,60,32,0
VD01,3,1,22,8,5,60,60,60,32,0
VD02,3,1,22,8,5,60,60,60,32,0
VD01,3,2,22,8,5,60,60,60,32,0
VD02,3,2,22,8,5,60,60,60,32,0
VD01,3,3,22,8,5,60,60,60,32,0
VD02,3,3,22,8,5,60,60,60,32,0
VD01,4,1,22,8,5,60,60,60,32,0
VD02,4,1,22,8,5,60,60,60,32,0
VD01,4,2,22,8,5,60,60,60,32,0
VD02,4,2,22,8,5,60,60,60,32,0
VD01,4,3,22,8,5,60,60,60,32,0
VD02,4,3,22,8,5,60,60,60,32,0
VD01,5,1,22,8,5,60,60,60,32,0
VD02,5,1,22,8,5,60,60,60,32,0
VD01,5,2,22,8,5,60,60,60,32,0
VD02,5,2,22,8,5,60,60,60,32,0
VD01,5,3,22,8,5,60,60,60,32,0
VD02,5,3,22,8,5,60,60,60,32,0
VD01,6,1,25,9,6,10,10,10,89,1
VD02,6,1,22,8,5,91,91,91,5,1
VD01,6,2,25,9,6,10,10,10,89,1
VD02,6,2,22,8,5,91,91,91,5,1
VD01,6,3,25,9,6,10,10,10,89,1
VD02,6,3,22,8,5,91,91,91,5,1
VD01,7,1,25,9,6,10,10,10,89,1
VD02,7,1,22,8,5,91,91,91,5,1
VD01,7,2,25,9,6,10,10,10,89,1
VD02,7,2,22,8,5,91,91,91,5,1
VD01,7,3,25,9,6,10,10,10,89,1
VD02,7,3,22,8,5,91,91,91,5,1
VD01,8,1,25,9,6,10,10,10,89,1
VD02,8,1,22,8,5,91,91,91,5,1
VD01,8,2,25,9,6,10,10,10,89,1
VD02,8,2,22,8,5,91,91,91,5,1
VD01,8,3,25,9,6,10,10,10,89,1
VD02,8,3,22,8,5,91,91,91,5,1
