 ,ip,port,devideId,display_part,freewayId,localtion,direction,from_milepost,end_milepost,iconid,message1,message2
RGS-N1-S-163.51,192.168.18.61,4660,0xffff,1,1,163510,S,165500,192800,1,裹て╰参,@だ
RGS-N1-S-163.51,192.168.18.61,4660,0xffff,2,0,163510,S,0,0,0,,
RGS-N1-N-166.63,192.168.18.60,4660,0xffff,1,1,166630,N,166630,94900,1,穝λ╰参,@だ
RGS-N1-N-166.63,192.168.18.60,4660,0xffff,2,0,166630,N,0,0,0,,
RGS-N3-S-167.514,192.168.78.199,4660,0xffff,1,3,167514,S,169000,196800,4,裹て╰参,@だ
RGS-N3-S-167.514,192.168.78.199,4660,0xffff,2,0,167514,S,0,0,0,,
RGS-N3-N-170.188,192.168.78.181,4660,0xffff,1,3,170188,N,169000,100800,4,穝λ╰参,@だ
RGS-N3-N-170.188,192.168.78.181,4660,0xffff,2,0,170188,N,0,0,0,,
RGS-N1-S-191.87,192.168.26.57,4660,0xffff,1,1,191870,S,192800,207700,1,瓾芉╰参,@だ
RGS-N1-S-191.87,192.168.26.57,4660,0xffff,2,3,191870,S,196800,222500,4,い砍╰参,@だ
RGS-N1-N-193.8,192.168.26.56,4660,0xffff,1,1,193800,N,192800,165500,1,い╰参,@だ
RGS-N1-N-193.8,192.168.26.56,4660,0xffff,2,3,193800,N,196800,169000,4,い翠╰参,@だ
RGS-N3-S-195.362,192.168.102.194,4660,0xffff,1,3,195362,S,196800,222500,4,い砍╰参,@だ
RGS-N3-S-195.362,192.168.102.194,4660,0xffff,2,1,195362,S,192800,207700,1,瓾芉╰参,@だ
RGS-N3-N-198.182,192.168.102.182,4660,0xffff,1,3,198182,N,196800,169000,4,い翠╰参,@だ
RGS-N3-N-198.182,192.168.102.182,4660,0xffff,2,1,198182,N,192800,165500,1,い╰参,@だ
RGS-N1-S-203.79,192.168.26.55,4660,0xffff,1,1,203790,S,203790,243800,1,冻狶╰参,@だ
RGS-N1-S-203.79,192.168.26.55,4660,0xffff,2,0,203790,S,0,0,0,,
RGS-N3-S-221.691,192.168.82.56,4660,0xffff,1,3,221691,S,222500,269200,4,╰参,@だ
RGS-N3-S-221.691,192.168.82.56,4660,0xffff,2,0,221691,S,0,0,0,,
RGS-N3-N-223.491,192.168.82.55,4660,0xffff,1,3,223491,N,222500,196800,4,裹て╰参,@だ
RGS-N3-N-223.491,192.168.82.55,4660,0xffff,2,0,223492,N,0,0,0,,
RGS-N1-S-242.470,192.168.34.68,1001,0xffff,1,1,242470,S,242470,264300,1,古竡╰参,@だ
RGS-N1-S-242.470,192.168.34.68,1001,0xffff,2,0,242470,S,0,0,0,,
RGS-N1-N-245.06,192.168.34.67,1001,0xffff,1,1,245060,N,243800,207700,1,瓾芉╰参,@だ
RGS-N1-N-245.06,192.168.34.67,1001,0xffff,2,0,245060,N,0,0,0,,
