rms_name,intersection,ip,port,device_id
RMSTC-N3-156-N-1,苑裡交流道,192.168.74.213,1001,0xffff
RMSTC-N3-156-S-1,苑裡交流道,192.168.74.227,1001,0xffff
RMSTC-N3-236-S-1,名間交流道,192.168.90.234,1001,0xffff
RMSTC-N3-243-S-1,竹山交流道,192.168.90.241,1001,0xffff
RMSTC-N3-124-S-1,大山交流道,192.168.66.241,1001,0xffff
RMSTC-N3-124-N-1,大山交流道,192.168.66.227,1001,0xffff
RMSTC-N3-217-S-1,草屯交流道,192.168.82.59,1001,0xffff
RMSTC-N3-224-S-1,南投交流道,192.168.82.60,1001,0xffff
RMSTC-N3-207-N-1,烏日交流道,10.21.71.110,1001,0xffff
RMSTC-N3-209-N-1,中投交流道,192.168.82.57,1001,0xffff
RMSTC-N3-176-S-1,沙鹿交流道,192.168.78.217,1001,0xffff
RMSTC-N3-182-S-2,龍井交流道,192.168.78.223,1001,0xffff
RMSTC-N3-182-S-1,龍井交流道,192.168.78.229,1001,0xffff
RMSTC-N3-119-S-1,竹南交流道,192.168.66.234,1001,0xffff
